0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,12,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,116,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,34,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,4,10,0,1,0,0,1,0,0,0,1,0,0,2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,10,1,3,0,0,3,0,0,1,0,0,0,0
0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0
0,0,0,1,1,0,0,0,4,0,10,1,0,44,0,1,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,3,0,1,0,0,0,0,5,0,0,11,0,0,0,5,2,1,0,0
0,0,0,1,0,0,0,0,1,1,21,0,0,17,0,2,1,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0
0,0,0,0,1,0,0,0,2,1,5,0,2,0,0,0,29,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
