0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,89,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,53,2,0,0,0,0,2,0,0,0,0,0,1,0,0
1,1,0,2,17,1,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,2,0,0
0,2,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
3,0,0,2,0,1,0,6,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,1,1,4,19,1,47,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,1,1,0
0,0,0,0,0,1,0,1,22,0,18,0,0,2,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,0,0,14,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,1
0,0,0,2,0,3,0,1,10,1,0,1,0,1,1,35,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
