0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,56,15,1,1,0,0,0,1,0,2,0,0,0,0,0,0
1,0,11,61,1,0,0,0,0,2,0,1,0,0,1,0,0,0
1,2,0,2,13,2,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,4,6,0,0,0,0,0,0,0,0,2,0,0,0
0,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,7,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,4,18,1,47,0,0,0,7,1,0,0
0,0,0,1,0,0,0,0,0,12,0,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,23,0,18,0,0,2,1,1,0,0
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,0,0,14,1,0,0,0
0,0,0,2,0,4,0,1,12,1,0,1,0,2,35,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
