0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,8,62,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,80,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,9,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,22,0,1,0,43,0,1,0,3,0,0,0,0
0,1,0,0,1,2,1,1,0,0,7,0,1,1,0,0,0,4,0,0,0,0
0,0,0,0,1,0,0,0,0,2,1,0,1,4,0,0,0,1,0,0,0,0
0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,21,0,0,0,19,0,0,0,1,0,0,0,0
0,0,0,2,1,1,0,0,0,0,4,0,1,0,12,0,1,5,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,0,0,0,2,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0
0,0,0,0,0,1,0,0,0,4,1,2,0,0,2,0,0,28,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
