i,j,indice
10,3,0
10,4,1
10,7,2
9,7,3
7,12,4
7,11,5
6,11,6
6,10,7
6,9,8
6,8,9
6,7,10
5,7,11
7,10,12
8,11,13
8,10,14
9,10,15
8,4,16
8,5,17
9,5,18
9,4,19
11,5,20
5,3,21
5,4,22
5,5,23
6,6,24
5,10,25
8,9,26
8,8,27
8,7,28
10,6,29
6,12,30
5,2,31
6,2,32
6,3,33
5,11,34
5,8,35
9,8,36
4,4,37
4,5,38
6,5,39
7,6,40
7,7,41
7,8,42
9,1,43
7,3,44
8,3,45
9,3,46
0,6,47
1,6,48
1,7,49
0,7,50
0,5,51
10,2,52
8,0,53
7,0,54
7,1,55
4,3,56
5,1,57
6,1,58
4,11,59
5,12,60
8,1,61
9,6,62
8,6,63
5,6,64
4,6,65
3,6,66
3,7,67
2,7,68
11,6,69
11,7,70
0,4,71
1,4,72
6,4,73
1,5,74
0,3,75
2,4,76
3,4,77
7,5,78
3,5,79
2,5,80
2,6,81
7,4,82
4,7,83
3,8,84
5,0,85
4,0,86
3,0,87
3,1,88
4,1,89
3,2,90
4,2,91
3,3,92
1,3,93
3,9,94
3,10,95
4,10,96
7,9,97
1,8,98
1,9,99
2,9,100
2,10,101
4,8,102
4,9,103
2,8,104
7,2,105
2,3,106
8,2,107
5,9,108
6,0,109
1,10,110
10,5,111
3,11,112
2,11,113
10,8,114
0,8,115
0,9,116
9,9,117
2,1,118
10,9,119
9,2,120
8,12,121
9,11,122
4,12,123
0,10,124
