0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,21,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,96,2,0,0,0,0,17,0,6,0,0,0,1,0,2,0
1,2,2,13,2,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,10,0,0,0,0,0,0,0,0,0,2,0,0,0
0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,3,2,0,0,0,2,0,0,0,0,0,0
0,0,1,0,0,1,2,21,1,0,0,45,0,0,7,0,0,0
0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,1,0,0
0,0,1,0,0,0,1,1,0,9,0,1,0,1,1,1,0,1
0,0,13,0,1,0,0,0,6,0,4,0,0,0,0,0,2,0
0,0,0,0,0,0,1,22,0,1,0,18,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,1,1,1,0,0,1,0,3,0,0,0,13,1,1,0,0
0,0,2,0,3,0,0,11,1,1,0,0,0,3,36,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
