i,j,indice
10,3,0
10,4,1
10,7,2
9,7,3
7,11,4
6,11,5
6,10,6
6,9,7
6,8,8
6,7,9
5,7,10
7,10,11
8,11,12
8,10,13
9,10,14
8,4,15
9,4,16
11,5,17
5,3,18
5,4,19
5,5,20
5,6,21
5,10,22
8,9,23
8,8,24
8,7,25
10,6,26
5,2,27
6,12,28
6,6,29
6,2,30
6,3,31
5,11,32
5,8,33
9,8,34
4,4,35
4,5,36
6,5,37
7,12,38
7,6,39
7,7,40
7,8,41
9,1,42
7,3,43
8,3,44
8,2,45
9,2,46
9,3,47
0,6,48
1,6,49
1,7,50
0,7,51
0,5,52
10,2,53
8,0,54
7,0,55
7,1,56
4,3,57
5,1,58
6,1,59
4,11,60
8,1,61
9,6,62
8,6,63
4,6,64
3,6,65
3,7,66
2,7,67
11,6,68
11,7,69
0,4,70
1,4,71
6,4,72
1,5,73
0,3,74
2,4,75
3,4,76
7,5,77
3,5,78
2,5,79
2,6,80
7,4,81
4,7,82
3,8,83
2,8,84
3,3,85
5,0,86
4,0,87
3,0,88
3,1,89
3,2,90
4,2,91
1,3,92
3,9,93
3,10,94
4,10,95
7,9,96
1,8,97
1,9,98
2,9,99
5,12,100
2,10,101
4,8,102
4,9,103
8,5,104
9,5,105
7,2,106
2,3,107
5,9,108
6,0,109
1,10,110
4,1,111
10,5,112
3,11,113
2,11,114
10,8,115
0,8,116
0,9,117
0,10,118
2,1,119
10,9,120
9,9,121
4,12,122
