0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,145,2,1,0,0,0,4,0,0,1,0,0,1,0,0
1,1,2,12,1,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,3,9,0,0,0,0,0,0,0,0,0,2,0,0
0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,1,3,18,1,1,46,0,0,0,7,0,0
0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,8,1,0,0,0,1,0,1
0,0,0,0,1,0,3,23,0,1,20,0,0,2,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
0,0,1,0,1,0,0,0,0,0,4,0,0,13,2,0,0
0,0,2,0,3,0,1,11,2,1,0,0,0,3,36,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
