0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,148,1,1,0,0,0,2,0,0,1,0,0,0,0,0
2,2,1,16,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,2,3,11,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2,0,1,2,2,0,0,2,0,0,0,0,0,0
0,0,1,0,1,0,0,27,1,1,34,0,0,1,7,0,0
0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,11,4,0,0,1,1,0,0
0,0,0,0,1,0,2,17,0,0,32,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
0,0,1,0,2,0,0,3,0,0,0,0,0,12,3,0,0
0,0,0,0,4,0,0,8,0,1,0,0,0,0,40,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
