0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,37,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1,0,3,100,1,0,0,0,0,2,0,0,0,1,0,0,0,0
1,1,0,2,12,1,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,4,8,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,1,0,5,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,3,19,1,47,0,0,7,1,0,0,0
0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,1,0
0,0,0,0,0,1,0,1,23,0,18,0,2,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,0,13,2,0,0,0,0
0,0,0,2,0,3,0,1,11,1,0,0,3,36,1,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
