0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,28,25,1,1,0,0,0,9,0,0,0,0,0,3,0,0
1,0,14,66,1,0,0,0,0,2,0,0,0,1,0,0,0,0
1,1,0,2,13,1,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,2,9,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,5,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,4,19,1,47,0,0,7,1,0,0,0
0,0,1,3,0,0,0,0,0,11,0,0,0,1,0,1,1,0
0,0,0,0,0,1,0,0,23,0,18,0,2,1,1,0,0,0
3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,0,13,2,0,0,0,0
0,0,0,2,0,3,0,1,11,2,0,0,3,36,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
