i,j,indice
10,3,0
10,4,1
10,7,2
9,7,3
7,12,4
6,12,5
6,11,6
6,10,7
6,9,8
6,8,9
6,7,10
5,7,11
7,10,12
8,11,13
8,10,14
9,10,15
7,11,16
8,4,17
8,5,18
9,5,19
9,4,20
10,5,21
11,5,22
5,3,23
5,4,24
5,5,25
5,6,26
5,10,27
8,9,28
8,8,29
8,7,30
10,6,31
6,6,32
6,2,33
6,3,34
5,11,35
5,8,36
9,8,37
4,4,38
4,5,39
6,5,40
7,7,41
7,8,42
9,1,43
7,3,44
8,3,45
9,3,46
0,7,47
0,6,48
1,6,49
1,7,50
0,5,51
8,0,52
7,0,53
7,1,54
5,2,55
5,1,56
6,1,57
4,12,58
5,12,59
7,6,60
8,1,61
9,6,62
8,6,63
4,6,64
3,6,65
3,7,66
2,7,67
11,6,68
11,7,69
0,4,70
1,4,71
4,3,72
6,4,73
1,5,74
0,3,75
2,4,76
3,4,77
10,2,78
7,5,79
3,5,80
2,5,81
2,6,82
7,4,83
4,7,84
3,8,85
2,8,86
5,0,87
4,0,88
4,1,89
3,0,90
3,1,91
3,2,92
4,2,93
3,3,94
1,3,95
3,9,96
3,10,97
4,10,98
7,9,99
1,8,100
1,9,101
2,9,102
2,10,103
4,8,104
4,9,105
7,2,106
2,3,107
8,2,108
5,9,109
4,11,110
6,0,111
1,10,112
3,11,113
2,11,114
10,8,115
0,8,116
0,9,117
0,10,118
2,1,119
10,9,120
9,9,121
8,12,122
9,11,123
9,2,124
11,8,125
