i,j,indice
10,3,0
10,4,1
10,7,2
9,7,3
7,11,4
6,11,5
6,10,6
6,9,7
6,8,8
6,7,9
5,7,10
7,10,11
8,11,12
8,10,13
9,10,14
8,4,15
9,4,16
11,5,17
5,3,18
5,4,19
5,5,20
5,6,21
5,10,22
8,9,23
8,8,24
8,7,25
10,6,26
5,2,27
6,12,28
6,6,29
6,2,30
6,3,31
5,11,32
5,8,33
9,8,34
4,4,35
4,5,36
6,5,37
7,12,38
7,6,39
7,7,40
7,8,41
9,1,42
8,1,43
7,3,44
8,3,45
8,2,46
9,2,47
9,3,48
0,6,49
1,7,50
1,6,51
0,7,52
0,5,53
10,2,54
8,0,55
7,0,56
7,1,57
4,3,58
5,1,59
6,1,60
4,11,61
4,2,62
4,1,63
9,6,64
8,6,65
4,6,66
3,6,67
3,7,68
2,7,69
11,6,70
11,7,71
0,4,72
1,4,73
6,4,74
1,5,75
0,3,76
2,4,77
3,4,78
7,5,79
3,5,80
2,5,81
7,4,82
4,7,83
3,8,84
2,8,85
3,3,86
5,0,87
4,0,88
3,0,89
3,1,90
3,2,91
1,3,92
3,9,93
3,10,94
4,10,95
7,9,96
2,6,97
1,8,98
1,9,99
2,9,100
5,12,101
2,10,102
4,8,103
4,9,104
8,5,105
9,5,106
7,2,107
2,3,108
5,9,109
6,0,110
1,10,111
10,5,112
3,11,113
2,11,114
10,8,115
0,8,116
0,9,117
0,10,118
2,1,119
10,9,120
9,9,121
4,12,122
