k,paso_m,MAE,MAE_normalizado,Error_relativo,Frobenius_normalizada
1,1000,0.016705726819301724,0.0002784287803216954,0.4955853627919916,0.4235890550384148
2,1000,0.011648,0.00017385074626865673,0.3166516700537654,0.30198129840046933
3,1000,0.011633287064577964,0.00019388811774296606,0.32908263205382055,0.3284141387224883
4,1000,0.00806398307885518,0.00012599973560711218,0.26537700624657146,0.16492662397486582
5,1000,0.010046929737590058,0.0001674488289598343,0.32534913827090595,0.33641269049236294
1,1500,0.06046863189720333,0.0010078105316200555,0.48537883255375514,0.4231770048608049
2,1500,0.04081632653061224,0.0006918021445866481,0.30131897108957945,0.26183567293581184
3,1500,0.03439935501209352,0.0005830399154592122,0.27820897549030477,0.23593010216973506
4,1500,0.03225806451612903,0.0005659309564233164,0.2928844623973992,0.1776401958257594
5,1500,0.029561945713517872,0.0005278918877413905,0.26668035668035667,0.1458489966525701
1,2000,0.15836734693877552,0.0012372448979591838,0.5278945765014832,0.3296332685944399
2,2000,0.12408163265306123,0.0009693877551020408,0.42589097815249843,0.25698160817068594
3,2000,0.08163265306122448,0.0006377551020408163,0.21482504819456522,0.20620998305777918
4,2000,0.07673469387755102,0.0005994897959183674,0.22731501307945381,0.22491226078805318
5,2000,0.04081632653061224,0.00031887755102040814,0.1565284739626845,0.08306537336938136
1,2500,0.2892561983471074,0.0036614708651532585,0.37295177663531376,0.3092605913823855
2,2500,0.1487603305785124,0.001883042159221676,0.20785769277554894,0.14608047026300683
3,2500,0.10330578512396695,0.001307668166126164,0.13284861329232459,0.11166677699042696
4,2500,0.07024793388429752,0.0008892143529657914,0.08766898331940078,0.08408518015401008
5,2500,0.07024793388429752,0.0008892143529657914,0.12750554873501277,0.06312755386985108
1,3000,0.4567901234567901,0.003334234477786789,0.4907036972797261,0.2865395774859774
2,3000,0.25925925925925924,0.0018786902844873858,0.2817353756555952,0.17231623905644294
3,3000,0.2037037037037037,0.0014761137949543745,0.2676021629130474,0.141066360117334
4,3000,0.24074074074074073,0.0017444981213097155,0.2975577681214936,0.1719024602252671
5,3000,0.29012345679012347,0.0021023438897835034,0.31357921011213846,0.24869985723305055
