0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,148,1,1,0,0,0,2,0,0,1,0,0,0,0,0
1,1,1,17,0,1,1,0,0,0,0,0,0,0,1,0,0
0,0,1,2,11,0,0,0,1,0,0,0,0,0,1,0,0
0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0
0,0,1,0,1,0,2,24,0,1,34,0,0,1,7,0,0
0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,10,6,0,0,1,1,0,0
0,0,0,0,0,0,2,20,0,1,29,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,0,2,0,2,0,0,1,1,0,1,0,0,14,2,0,0
0,0,0,0,2,0,0,10,0,0,0,0,0,2,38,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
