i,j,indice
10,3,0
10,4,1
10,7,2
9,7,3
7,11,4
6,11,5
6,10,6
6,9,7
6,8,8
6,7,9
5,7,10
7,10,11
8,11,12
8,10,13
8,9,14
9,9,15
9,10,16
8,4,17
9,4,18
11,5,19
5,3,20
5,4,21
5,5,22
5,6,23
5,10,24
8,8,25
8,7,26
10,5,27
5,2,28
6,6,29
6,2,30
6,3,31
5,11,32
9,8,33
4,3,34
4,4,35
4,5,36
6,5,37
7,6,38
7,7,39
7,8,40
6,12,41
9,1,42
7,2,43
8,2,44
9,2,45
8,3,46
0,6,47
1,6,48
1,7,49
0,7,50
0,5,51
10,2,52
7,12,53
8,0,54
7,0,55
7,1,56
5,1,57
6,1,58
4,11,59
8,1,60
10,6,61
9,6,62
8,6,63
4,6,64
3,6,65
3,7,66
2,6,67
2,7,68
11,6,69
11,7,70
0,4,71
1,4,72
6,4,73
1,5,74
0,3,75
2,4,76
3,4,77
3,3,78
7,5,79
3,5,80
2,5,81
7,3,82
7,4,83
4,7,84
3,8,85
2,8,86
5,0,87
4,0,88
3,0,89
3,1,90
3,2,91
4,2,92
1,3,93
5,8,94
3,9,95
3,10,96
4,10,97
7,9,98
1,8,99
2,9,100
2,10,101
4,8,102
4,9,103
8,5,104
9,5,105
2,3,106
0,2,107
1,2,108
5,9,109
4,1,110
6,0,111
1,10,112
9,3,113
3,11,114
1,9,115
2,11,116
10,8,117
0,8,118
0,9,119
2,1,120
10,9,121
