k,paso_m,MAE,MAE_normalizado,Error_relativo,Frobenius_normalizada
1,1000,0.027143241064230047,0.0004112612282459098,0.730341135308317,0.5838427654754843
2,1000,0.0251348951574346,0.0003808317448096152,0.6360880779079308,0.5775511216114922
3,1000,0.02677412745031077,0.00040566859773198135,0.6445916189483619,0.5978223031553095
4,1000,0.027593743596748856,0.0004180870241931645,0.6891932217578486,0.621146629657216
5,1000,0.026910730141383784,0.0004077383354755119,0.6500946097139015,0.6402200387225525
1,1500,0.09777777777777778,0.0016296296296296297,0.6834334211597369,0.6887077217044398
2,1500,0.1,0.0016949152542372883,0.6187533075323651,0.712677854073624
3,1500,0.10055555555555555,0.001704331450094162,0.5936126839656382,0.6901237779840964
4,1500,0.09388888888888888,0.0015648148148148147,0.604285268727374,0.6916765925912788
5,1500,0.09777777777777778,0.001657250470809793,0.644460880007791,0.6277898958945604
1,2000,0.21626297577854672,0.001613902804317513,0.6758583442875398,0.30848925783943865
2,2000,0.1972318339100346,0.0014718793575375715,0.6228769704764907,0.30174069749178517
3,2000,0.19896193771626297,0.0014737921312315775,0.5805190247118092,0.32773169244794575
4,2000,0.19550173010380623,0.0014481609637318979,0.6455945115189784,0.29237722432035124
5,2000,0.21280276816608998,0.0015880803594484326,0.6751391315694977,0.30439925720789757
1,2500,0.6322314049586777,0.0077101390848619234,0.9720033557939752,0.6487560851951292
2,2500,0.5743801652892562,0.0070046361620641,0.7880644862862954,0.5908080840924901
3,2500,0.5702479338842975,0.00695424309614997,0.7500949651110952,0.6017399787657371
4,2500,0.5991735537190083,0.007306994557548881,0.8944489224125274,0.5800007051684593
5,2500,0.6115702479338843,0.007550249974492398,0.8273983759580416,0.6023072333393531
1,3000,0.4982698961937716,0.0034363441116811834,0.633057581858695,0.17899335714035047
2,3000,0.4290657439446367,0.0029590740961699083,0.5453534937151006,0.1586277191204373
3,3000,0.4429065743944637,0.0030545280992721633,0.5515556091304176,0.1468963031620311
4,3000,0.41522491349480967,0.002863620093067653,0.5221358908036117,0.17126635096456036
5,3000,0.36678200692041524,0.002512205526852159,0.47380211220977053,0.12480514407482945
